Student,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15,question16,question17,question18,question19,question20,question21,question22,question23,question24,question25,question26,question27,question28
103,2,1,2,2,5,4,5,4,5,5,2,5,4,3,4,2,2,4,4,4,5,5,5,5,4,4,4,2
112,5,2,3,2,2,2,5,5,2,2,2,5,2,5,5,5,5,2,4,4,3,4,1,5,5,5,5,3
117,3,1,1,4,4,5,1,4,4,4,5,2,2,4,4,3,2,4,5,5,5,5,4,5,3,5,5,2
217,3,1,1,2,3,5,2,5,3,4,5,2,1,4,4,2,1,2,5,2,4,4,2,4,5,3,4,5
234,5,1,1,4,5,4,4,4,2,5,3,3,5,4,5,3,3,4,5,3,4,4,2,4,4,4,4,4
602,1,2,3,3,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
610,4,2,2,3,4,3,3,4,3,2,4,2,1,5,4,3,3,3,4,3,4,4,2,4,4,2,4,5
707,2,1,2,2,3,4,3,4,3,3,4,3,4,4,3,3,2,3,4,3,4,4,2,4,4,3,5,4
710,4,1,1,4,5,5,4,5,2,4,5,1,1,5,2,2,1,4,5,2,5,5,3,5,5,4,5,5
713,3,3,2,4,4,5,3,4,3,5,3,2,4,3,3,2,3,4,3,4,4,4,5,4,4,5,4,3
1021,5,1,1,1,4,4,2,4,2,3,4,2,3,4,4,2,2,2,4,2,4,4,2,4,4,2,4,3
1023,5,1,1,2,4,5,4,3,1,5,4,2,1,4,4,1,2,4,5,3,4,4,5,5,3,3,3,5
1042,5,1,1,2,4,2,2,4,3,4,4,2,4,4,4,2,2,3,4,2,3,4,2,4,4,4,4,4
