Student,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15,question16,question17,question18,question19,question20,question21,question22,question23,question24,question25,question26,question27,question28
103,3,2,3,2,4,1,4,4,3,4,2,5,4,5,4,2,2,5,5,4,3,5,5,5,5,2,5,3
108,5,1,1,1,3,1,3,3,1,4,2,4,5,3,3,1,4,3,5,3,4,4,5,4,2,4,4,4
112,1,3,5,5,5,1,5,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3
113,3,1,2,2,4,4,3,4,3,2,4,2,3,4,3,2,2,2,4,2,3,4,3,4,4,3,4,4
134,4,1,1,2,5,5,3,4,2,4,4,2,2,4,4,3,2,2,5,2,4,4,2,4,4,3,4,4
217,3,1,1,2,4,5,2,4,2,3,4,2,4,4,5,2,2,2,4,3,4,5,2,4,3,3,5,4
302,2,1,1,2,4,4,5,4,3,3,4,3,2,4,3,3,2,3,4,2,2,5,2,4,3,3,4,3
307,3,1,1,4,4,3,1,4,4,4,4,1,2,4,3,2,1,3,5,3,3,5,1,4,3,2,4,4
322,5,1,1,2,3,5,2,4,4,3,3,3,2,3,4,2,2,3,3,4,2,4,3,4,4,4,4,3
407,5,1,1,3,5,5,2,5,1,4,5,2,2,5,3,4,1,2,5,3,3,5,1,5,5,4,5,4
439,3,1,3,3,3,4,3,4,4,4,4,5,2,3,3,4,2,4,3,4,3,5,4,4,5,4,3,2
520,3,1,2,3,4,3,3,4,2,3,4,3,2,4,3,2,4,3,4,3,3,4,2,3,3,5,4,4
602,2,1,1,1,5,5,5,5,1,1,5,1,1,5,5,1,1,1,5,1,5,5,1,5,5,1,5,5
610,3,1,1,3,4,3,3,4,2,2,4,2,1,5,4,1,2,3,3,2,4,4,2,5,5,2,4,4
707,5,1,1,3,3,3,3,4,3,4,4,2,3,4,3,2,2,3,4,3,4,4,2,4,4,3,4,3
710,5,1,1,2,4,3,4,4,1,4,4,2,3,4,4,2,2,4,4,4,4,4,3,4,3,3,4,4
713,3,1,2,4,4,5,3,4,1,4,4,2,4,3,3,2,1,5,4,4,3,5,4,4,4,5,5,3
714,5,1,3,3,3,3,3,5,3,5,5,2,3,4,3,4,3,5,3,3,4,5,5,3,3,5,3,4
1006,1,2,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1021,5,1,1,2,5,5,3,4,2,3,4,3,3,4,4,2,2,2,4,4,4,5,4,5,4,2,4,4
1042,5,1,1,3,4,4,3,4,2,4,4,2,3,3,4,2,2,3,4,2,2,4,2,4,4,2,4,4
1023,4,1,1,2,5,5,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,5
316,5,1,1,3,5,5,4,4,3,2,4,2,2,4,3,3,2,3,4,4,3,5,4,4,4,4,4,4
117,4,1,1,2,4,4,1,4,4,4,4,1,2,4,4,2,4,2,4,4,4,5,2,5,5,4,4,3
234,5,1,1,3,5,3,4,5,2,4,4,3,2,3,3,3,3,4,3,1,4,3,1,3,4,5,3,3
