Student,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15,question16,question17,question18,question19,question20,question21,question22,question23,question24,question25,question26,question27,question28,question29,question30,question31,question32
234,2,1,2,1,1,4,2,1,1,1,5,4,5,4,5,1,2,1,4,2,2,2,2,2,2,1,1,3,1,3,1,1
117,4,1,4,1,1,4,4,2,4,2,4,2,4,4,4,2,2,2,4,4,2,4,2,2,4,2,4,4,4,4,4,2
1023,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
316,3,1,3,3,1,3,2,2,4,2,4,3,4,3,4,3,3,1,4,4,2,2,2,1,4,2,1,2,1,2,2,3
520,2,1,5,4,1,5,5,4,1,2,5,5,5,3,5,3,5,1,4,4,2,2,1,4,4,2,2,2,2,2,3,2
302,3,1,5,2,1,5,4,3,4,3,4,4,5,3,4,3,2,2,4,4,2,4,2,1,4,2,4,4,3,1,4,2
1006,1,1,3,3,3,3,3,2,3,2,4,4,2,2,3,2,2,2,3,4,2,2,2,2,4,2,3,3,3,2,3,3
134,2,2,3,2,2,4,2,4,2,4,4,3,3,4,4,4,4,2,3,4,3,1,1,1,4,1,3,3,2,1,2,2
602,1,1,5,1,1,5,5,1,3,1,5,5,5,1,5,1,1,1,3,5,1,1,1,1,5,1,1,5,1,1,5,1
713,3,2,5,2,1,4,4,2,3,1,5,4,3,2,4,4,3,1,4,3,2,1,1,2,4,2,2,4,4,1,4,2
108,4,4,5,5,5,5,5,1,5,1,5,5,5,5,1,1,1,1,4,5,3,5,1,1,1,1,5,3,1,1,5,3
439,5,2,4,2,2,4,2,2,4,1,3,3,3,1,3,4,1,1,5,4,2,2,4,2,4,2,3,2,4,4,4,3
1042,2,2,4,2,2,4,4,2,2,2,4,4,4,2,4,2,3,2,4,4,2,3,2,2,4,2,2,4,4,2,4,2
217,2,1,4,2,2,5,2,2,2,3,4,3,5,2,4,4,2,1,4,4,2,1,2,2,4,2,2,2,2,1,2,2
103,2,2,4,4,5,1,4,2,2,3,3,3,4,3,4,4,2,1,4,4,2,2,3,4,4,3,4,3,3,4,3,4
113,3,2,4,2,2,4,4,4,3,2,4,3,4,2,4,3,3,2,4,4,2,2,3,4,4,3,4,3,3,2,3,3
112,3,3,3,3,3,3,3,3,3,1,1,5,5,5,5,1,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
710,1,1,5,3,1,4,1,2,1,1,5,5,5,1,5,2,1,1,1,4,1,3,1,3,5,1,1,5,1,1,3,2
322,3,2,4,3,4,2,3,4,4,2,3,2,3,3,4,4,3,2,4,3,2,3,3,2,4,3,2,2,2,2,2,3
707,4,3,4,3,2,4,4,2,3,2,5,4,3,4,4,2,3,2,4,3,3,2,1,3,4,2,3,4,4,1,3,3
610,1,1,4,2,3,5,3,2,3,2,5,5,5,1,5,1,1,1,4,5,1,5,1,2,5,1,1,3,2,1,3,2
1021,3,2,4,4,2,4,2,3,2,2,4,4,4,2,4,3,2,2,4,3,2,2,2,3,4,2,2,2,3,2,3,2
407,2,1,4,3,1,4,4,3,2,1,5,5,4,2,5,3,1,1,4,4,2,1,1,1,4,1,3,4,2,1,2,1
714,1,1,1,1,1,5,3,2,1,1,5,5,5,1,5,1,1,1,3,5,1,3,1,1,5,1,1,1,3,5,1,1
307,3,1,1,2,1,4,2,3,2,1,5,5,5,1,5,3,2,1,4,4,2,3,1,1,5,1,2,2,3,2,3,2
